Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length
YP_005227431.1,DoxX family protein,GCA_002156725.1 ARS95030.1 DoxX family membrane protein [Klebsiella pneumoniae],Mutated,6,131
YP_005227138.1,aromatic amino acid DMT transporter YddG,GCA_002156725.1 ARS94767.1 EamA family transporter [Klebsiella pneumoniae],Mutated,8,292
YP_005229206.1,siroheme synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96843.1 siroheme synthase [Klebsiella pneumoniae],Mutated,3,457
YP_005225521.1,putative ABC transporter ATP-binding protein YbbA [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93212.1 ABC transporter ATP-binding protein [Klebsiella pneumoniae],Mutated,4,228
YP_005224365.1,rhamnulokinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92131.1 rhamnulokinase [Klebsiella pneumoniae],Mutated,9,488
YP_005227547.1,type VI secretion system lipoprotein TssJ,GCA_002156725.1 ARS97256.1 type VI secretion system-associated lipoprotein [Klebsiella pneumoniae],Mutated,32,162
YP_005226309.1,putrescine/spermidine ABC transporter ATPase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93945.1 putrescine/spermidine ABC transporter ATP-binding protein [Klebsiella pneumoniae],Mutated,4,378
YP_005225352.1,taurine dioxygenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93057.1 taurine dioxygenase [Klebsiella pneumoniae],Mutated,8,283
YP_005225596.1,hypothetical protein KPHS_12960 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC25303.1 hypothetical protein AM386_27630 [Klebsiella pneumoniae],Mutated,4,46
YP_005228987.1,PTS system galactitol-specific transporter subunit IIC [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96631.1 PTS galactitol transporter subunit IIC [Klebsiella pneumoniae],Mutated,2,460
YP_005228922.1,glycerol dehydratase-reactivation factor [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96570.1 hypothetical protein B9G35_25255 [Klebsiella pneumoniae],Mutated,4,117
YP_005226170.1,DNA helicase IV [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93825.1 DNA helicase IV [Klebsiella pneumoniae],Mutated,22,684
YP_005228286.1,polyphenol oxidase,GCA_002156725.1 ARS95941.1 hypothetical protein B9G35_21900 [Klebsiella pneumoniae],Mutated,27,233
YP_005224733.1,PTS system ascorbate-specific transporter subunit IIC [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92483.1 PTS ascorbate transporter subunit IIC [Klebsiella pneumoniae],Mutated,8,466
YP_005226176.1,AraC family transcription regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93831.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,15,262
YP_005229064.1,glutamate synthase large subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96704.1 glutamate synthase large subunit [Klebsiella pneumoniae],Mutated,7,1486
YP_005227998.1,DNA repair system specific for alkylated DNA [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95626.1 alpha-ketoglutarate-dependent dioxygenase AlkB [Klebsiella pneumoniae],Mutated,27,198
YP_005227637.1,putative glycoprotein endopeptidase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95210.1 tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB [Klebsiella pneumoniae],Mutated,6,231
YP_005224748.1,putative cationic amino acid transport protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92499.1 EamA family transporter [Klebsiella pneumoniae],Mutated,13,323
YP_005227156.1,ABC transporter membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94784.1 ABC transporter permease [Klebsiella pneumoniae],Mutated,22,551
YP_005224586.1,outer membrane ferric enterobactin receptor [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97117.1 TonB-dependent siderophore receptor [Klebsiella pneumoniae],Mutated,56,752
YP_005224902.1,transcriptional regulator LysR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92645.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,29,302
YP_005226125.1,3-deoxy-manno-octulosonate cytidylyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93785.1 3-deoxy-manno-octulosonate cytidylyltransferase [Klebsiella pneumoniae],Mutated,9,245
YP_005228661.1,fimbrial protein FimH [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97309.1 fimbrial protein [Klebsiella pneumoniae],Mutated,10,302
YP_005225831.1,N-acetylglucosamine-6-phosphate deacetylase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93507.1 N-acetylglucosamine-6-phosphate deacetylase [Klebsiella pneumoniae],Mutated,6,382
YP_005225163.1,ABC transporter permease [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92886.1 ABC transporter permease [Klebsiella pneumoniae],Mutated,2,255
YP_005229339.1,putative cellulose synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97334.1 cellulose synthase regulator BcsB [Klebsiella pneumoniae],Mutated,27,781
YP_005228014.1,anaerobic glycerol-3-phosphate dehydrogenase subunit B [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95643.1 anaerobic glycerol-3-phosphate dehydrogenase subunit B [Klebsiella pneumoniae],Mutated,18,419
YP_005229369.1,hypothetical protein KPHS_50690 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC21813.1 hypothetical protein AM386_08245 [Klebsiella pneumoniae],Mutated,2,38
YP_005226280.1,YcfL family protein,GCA_002156725.1 ARS93924.1 hypothetical protein B9G35_10960 [Klebsiella pneumoniae],Mutated,7,119
YP_005225161.1,carbonate dehydratase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92884.1 carbonate dehydratase [Klebsiella pneumoniae],Mutated,17,204
YP_005227542.1,translation-associated GTPase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95128.1 GTP-binding protein YchF [Klebsiella pneumoniae],Mutated,3,363
YP_005225367.1,pyrroline-5-carboxylate reductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97156.1 pyrroline-5-carboxylate reductase [Klebsiella pneumoniae],Mutated,4,269
YP_005226421.1,succinylarginine dihydrolase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94043.1 succinylarginine dihydrolase [Klebsiella pneumoniae],Mutated,17,441
YP_005224391.1,putative LysR-family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92156.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,18,302
YP_005226582.1,hypothetical protein KPHS_22820 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94264.1 hypothetical protein B9G35_12800 [Klebsiella pneumoniae],Mutated,33,113
YP_005228887.1,inorganic triphosphatase,GCA_002156725.1 ARS96536.1 inorganic triphosphatase [Klebsiella pneumoniae],Mutated,16,432
YP_005224778.1,glycine dehydrogenase,GCA_002156725.1 ARS92527.1 glycine dehydrogenase [Klebsiella pneumoniae],Mutated,48,112
YP_005227309.1,major facilitator superfamily protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94922.1 MFS transporter [Klebsiella pneumoniae],Mutated,360,205
YP_005227291.1,winged helix-turn-helix domain-containing protein,GCA_002156725.1 ARS94906.1 CadC family transcriptional regulator [Klebsiella pneumoniae],Mutated,11,144
YP_005228047.1,LysR family NADH dehydrogenase transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95674.1 transcriptional regulator LrhA [Klebsiella pneumoniae],Mutated,5,308
YP_005225409.1,thiamine monophosphate kinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93109.1 thiamine-monophosphate kinase [Klebsiella pneumoniae],Mutated,7,323
YP_005225246.1,DL-methionine transporter ATP-binding subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],"GCA_002156725.1 ARS92959.1 D-methionine ABC transporter, ATP-binding protein [Klebsiella pneumoniae]",Mutated,5,343
YP_005225434.1,cytochrome o ubiquinol oxidase subunit II [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93134.1 cytochrome ubiquinol oxidase subunit II [Klebsiella pneumoniae],Mutated,45,272
YP_005226979.1,putative hydrolase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94623.1 phosphotriesterase-related protein [Klebsiella pneumoniae],Mutated,3,359
YP_005229415.1,putative phosphatase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97043.1 rhodanese-like domain-containing protein [Klebsiella pneumoniae],Mutated,1,143
YP_005226755.1,transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94426.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,5,43
YP_005228657.1,periplasmic chaperone [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96319.1 molecular chaperone FimC [Klebsiella pneumoniae],Mutated,58,234
YP_005227437.1,NAD dependent epimerase/dehydratase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95036.1 NAD-dependent epimerase [Klebsiella pneumoniae],Mutated,43,331
YP_005225555.1,hypothetical protein KPHS_12550 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93247.1 hypothetical protein B9G35_07205 [Klebsiella pneumoniae],Mutated,15,151
YP_005225738.1,enterochelin esterase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93420.1 enterochelin esterase [Klebsiella pneumoniae],Mutated,21,402
YP_005226379.1,D-hexose-6-phosphate mutarotase,GCA_002156725.1 ARS94008.1 D-hexose-6-phosphate mutarotase [Klebsiella pneumoniae],Mutated,6,294
YP_005229505.1,putative acetyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS91964.1 N-acetyltransferase [Klebsiella pneumoniae],Mutated,6,138
YP_005226941.1,ribokinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94592.1 ribokinase [Klebsiella pneumoniae],Mutated,75,313
YP_005228622.1,putative binding-protein-dependent transport systems inner membrane component [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96285.1 sugar ABC transporter permease [Klebsiella pneumoniae],Mutated,2,300
YP_005227476.1,type V toxin-antitoxin system endoribonuclease antitoxin GhoS,GCA_002156725.1 ARS95071.1 hypothetical protein B9G35_17125 [Klebsiella pneumoniae],Mutated,6,94
YP_005225199.1,ferrichrome outer membrane transporter [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92915.1 ferrichrome porin FhuA [Klebsiella pneumoniae],Mutated,32,709
YP_005229474.1,sulfate transporter subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97091.1 sulfate transporter subunit [Klebsiella pneumoniae],Mutated,1,329
YP_005229426.1,O-antigen polymerase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97337.1 polymerase [Klebsiella pneumoniae],Mutated,32,389
YP_005226435.1,chitin disaccharide deacetylase,GCA_002156725.1 ARS94054.1 chitooligosaccharide deacetylase [Klebsiella pneumoniae],Mutated,6,252
YP_005225586.1,hypothetical protein KPHS_12860 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_018604345.1 QWA86222.1 Arc family DNA-binding protein [Klebsiella pneumoniae],Mutated,35,86
YP_005227730.1,dihydrodipicolinate synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95297.1 dihydrodipicolinate synthase family protein [Klebsiella pneumoniae],Mutated,20,293
YP_005228178.1,esterase,GCA_002156725.1 ARS95791.1 esterase [Klebsiella pneumoniae],Mutated,3,231
YP_005226224.1,iron uptake system protein EfeO,GCA_002156725.1 ARS93875.1 iron uptake system protein EfeO [Klebsiella pneumoniae],Mutated,3,375
YP_005228867.1,putative 2-component transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96518.1 two-component system response regulator QseB [Klebsiella pneumoniae],Mutated,3,219
YP_005229115.1,putative prophage protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96755.1 DNA primase [Klebsiella pneumoniae],Mutated,1,711
YP_005228106.1,phytanoyl-CoA dioxygenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95727.1 phytanoyl-CoA dioxygenase [Klebsiella pneumoniae],Mutated,5,61
YP_005227375.1,putative sugar transport protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94983.1 MFS transporter [Klebsiella pneumoniae],Mutated,12,410
YP_005227233.1,hypothetical protein KPHS_29330 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94854.1 RND transporter [Klebsiella pneumoniae],Mutated,2,120
YP_005226544.1,hypothetical protein KPHS_22440 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94227.1 hypothetical protein B9G35_12605 [Klebsiella pneumoniae],Mutated,2,64
YP_005229421.1,2-amino-3-ketobutyrate coenzyme A ligase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97049.1 glycine C-acetyltransferase [Klebsiella pneumoniae],Mutated,1,397
YP_005229002.1,SCP2 domain-containing protein,GCA_002156725.1 ARS96645.1 SCP2 domain-containing protein [Klebsiella pneumoniae],Mutated,3,174
YP_005228937.1,"autoinducer-2 ABC superfamily ATP binding cassette transporter, binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS96585.1 autoinducer 2 ABC transporter substrate-binding protein [Klebsiella pneumoniae],Mutated,9,333
YP_005227107.1,general stress protein,GCA_002156725.1 ARS93859.1 stress-induced protein [Klebsiella pneumoniae],Mutated,14,61
YP_005227302.1,oligopeptide ABC transport system permease component [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94916.1 peptide ABC transporter permease [Klebsiella pneumoniae],Mutated,11,316
YP_005228204.1,major facilitator superfamily transporter [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95815.1 MFS transporter [Klebsiella pneumoniae],Mutated,54,410
YP_005226182.1,hypothetical protein KPHS_18820 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93837.1 hypothetical protein B9G35_10470 [Klebsiella pneumoniae],Mutated,455,95
YP_005228510.1,flavodoxin [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96176.1 flavodoxin [Klebsiella pneumoniae],Mutated,1,147
YP_005225894.1,galactose-1-phosphate uridylyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93566.1 galactose-1-phosphate uridylyltransferase [Klebsiella pneumoniae],Mutated,6,348
YP_005227423.1,cysteine desulfurase activator complex subunit SufD [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95025.1 FeS cluster assembly protein SufD [Klebsiella pneumoniae],Mutated,42,424
YP_005228892.1,glycerol-3-phosphate 1-O-acyltransferase PlsY,GCA_002156725.1 ARS96541.1 glycerol-3-phosphate acyltransferase [Klebsiella pneumoniae],Mutated,2,205
YP_005224351.1,putative inner membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92118.1 branched-chain amino acid transport [Klebsiella pneumoniae],Mutated,4,107
YP_005225333.1,polar amino acid ABC transporter inner membrane subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97153.1 hypothetical protein B9G35_06125 [Klebsiella pneumoniae],Mutated,13,250
YP_005226382.1,YeaC family protein,GCA_002156725.1 ARS94011.1 hypothetical protein B9G35_11425 [Klebsiella pneumoniae],Mutated,1,92
YP_005227350.1,hypothetical protein KPHS_30500 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94960.1 hypothetical protein B9G35_16515 [Klebsiella pneumoniae],Mutated,3,129
YP_005229253.1,low-affinity gluconate transporter [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96892.1 gluconate transporter [Klebsiella pneumoniae],Mutated,27,446
YP_005227776.1,putative type IV secretory pathway VirB1 component [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95375.1 type VI secretion protein [Klebsiella pneumoniae],Mutated,12,236
YP_005228377.1,glutaredoxin protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96050.1 NrdH-redoxin [Klebsiella pneumoniae],Mutated,2,81
YP_005228281.1,YfiM family lipoprotein,GCA_002156725.1 ARS95938.1 hypothetical protein B9G35_21865 [Klebsiella pneumoniae],Mutated,3,107
YP_005225634.1,putative periplasmic binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93327.1 ABC transporter substrate-binding protein [Klebsiella pneumoniae],Mutated,16,372
YP_005226968.1,phosphoglycerate transporter [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94613.1 MFS transporter [Klebsiella pneumoniae],Mutated,205,268
YP_005227140.1,NADH oxidoreductase for HCP [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94769.1 NADH oxidase [Klebsiella pneumoniae],Mutated,27,338
YP_005225225.1,chaperone protein Skp [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92940.1 molecular chaperone [Klebsiella pneumoniae],Mutated,1,161
YP_005228659.1,type 1 fimbrial minor component [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96321.1 fimbrial protein [Klebsiella pneumoniae],Mutated,9,175
YP_005227524.1,putative phosphatase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95110.1 hypothetical protein B9G35_17355 [Klebsiella pneumoniae],Mutated,2,117
YP_005225243.1,outer membrane lipoprotein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92956.1 Rcs stress response system protein RcsF [Klebsiella pneumoniae],Mutated,17,118
YP_005225484.1,hypothetical protein KPHS_11840 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC23211.1 hypothetical protein AM386_15935 [Klebsiella pneumoniae],Mutated,1,46
YP_005229540.1,hexose phosphate transport protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS91996.1 hexose phosphate transporter [Klebsiella pneumoniae],Mutated,2,463
YP_005225954.1,hypothetical protein KPHS_16540 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26100.1 hypothetical protein AM386_25610 [Klebsiella pneumoniae],Mutated,2,45
YP_005228761.1,YggL family protein,GCA_002156725.1 ARS96419.1 hypothetical protein B9G35_24450 [Klebsiella pneumoniae],Mutated,2,108
YP_005226073.1,arginine ABC transporter periplasmic substrate-binding protein ArtI [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97185.1 arginine ABC transporter substrate-binding protein [Klebsiella pneumoniae],Mutated,10,243
YP_005225892.1,aldose 1-epimerase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93564.1 galactose-1-epimerase [Klebsiella pneumoniae],Mutated,15,347
YP_005224549.1,GNAT family N-acetyltransferase,GCA_002156725.1 ARS92315.1 N-acetyltransferase [Klebsiella pneumoniae],Mutated,3,169
YP_005226009.1,major facilitator superfamily protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93672.1 multidrug transporter MdfA [Klebsiella pneumoniae],Mutated,2,410
YP_005224944.1,RidA family protein,GCA_002156725.1 ARS92686.1 reactive intermediate/imine deaminase [Klebsiella pneumoniae],Mutated,4,130
YP_005225229.1,lipid-A-disaccharide synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92944.1 lipid-A-disaccharide synthase [Klebsiella pneumoniae],Mutated,3,383
YP_005224440.1,4-alpha-L-fucosyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92208.1 4-alpha-L-fucosyltransferase [Klebsiella pneumoniae],Mutated,17,358
YP_005224617.1,DUF485 domain-containing protein,GCA_002156725.1 ARS92377.1 hypothetical protein B9G35_02455 [Klebsiella pneumoniae],Mutated,1,103
YP_005225219.1,ribosome recycling factor [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92933.1 ribosome-recycling factor [Klebsiella pneumoniae],Mutated,1,185
YP_005226450.1,catecholate siderophore receptor Fiu [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94068.1 TonB-dependent siderophore receptor [Klebsiella pneumoniae],Mutated,24,772
YP_005226826.1,MFS transporter,GCA_002156725.1 ARS94492.1 MFS transporter [Klebsiella pneumoniae],Mutated,389,44
YP_005225327.1,common pilus major fimbrillin subunit EcpA,GCA_002156725.1 ARS93036.1 common pilus major fimbrillin subunit EcpA [Klebsiella pneumoniae],Mutated,2,195
YP_005227721.1,putative oligogalacturonide transporter [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95288.1 MFS transporter [Klebsiella pneumoniae],Mutated,21,503
YP_005228467.1,type VI secretion system effector [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96136.1 Hcp1 family type VI secretion system effector [Klebsiella pneumoniae],Mutated,10,160
YP_005228284.1,protein disaggregation chaperone [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95940.1 ATP-dependent chaperone ClpB [Klebsiella pneumoniae],Mutated,44,823
YP_005229503.1,putative TetR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS91963.1 TetR family transcriptional regulator [Klebsiella pneumoniae],Mutated,9,215
YP_005224887.1,sensor kinase CusS [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92630.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,23,477
YP_005226770.1,malonate decarboxylase subunit delta [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94440.1 malonate decarboxylase acyl carrier protein [Klebsiella pneumoniae],Mutated,7,99
YP_005226798.1,putative general substrate transporter [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94465.1 MFS transporter [Klebsiella pneumoniae],Mutated,9,427
YP_005225554.1,Eaa1 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE16520.1 DUF550 domain-containing protein [Klebsiella pneumoniae],Mutated,93,317
YP_005227588.1,putative acetyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95170.1 N-acetyltransferase [Klebsiella pneumoniae],Mutated,7,158
YP_005226531.1,ATP-binding protein,GCA_002156725.1 ARS94213.1 ATP-binding protein [Klebsiella pneumoniae],Mutated,22,96
YP_005224814.1,hydroxylase for synthesis of 2-methylthio-cis-ribozeatin in tRNA [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92559.1 tRNA-(ms[2]io[6]A)-hydroxylase [Klebsiella pneumoniae],Mutated,7,254
YP_005229054.1,RNase adapter RapZ,GCA_002156725.1 ARS96695.1 RNase adaptor protein RapZ [Klebsiella pneumoniae],Mutated,2,284
YP_005227525.1,DUF1883 domain-containing protein,GCA_002156725.1 ARS95111.1 hypothetical protein B9G35_17360 [Klebsiella pneumoniae],Mutated,2,80
YP_005224784.1,DgaE family pyridoxal phosphate-dependent ammonia lyase,GCA_002156725.1 ARS92533.1 L-seryl-tRNA selenium transferase [Klebsiella pneumoniae],Mutated,13,372
YP_005226627.1,putative 2'-hydroxyisoflavone reductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94305.1 aromatic alcohol reductase [Klebsiella pneumoniae],Mutated,10,309
YP_005229497.1,putative AraC-type regulatory protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS91957.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,6,301
YP_005227211.1,hypothetical protein KPHS_29110 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94833.1 hypothetical protein B9G35_15835 [Klebsiella pneumoniae],Mutated,20,55
YP_005225142.1,DUF2950 family protein,GCA_002156725.1 ARS92870.1 hypothetical protein B9G35_05155 [Klebsiella pneumoniae],Mutated,19,268
YP_005228166.1,putative carboxysome structural protein in ethanol utilization [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95779.1 ethanolamine utilization protein EutS [Klebsiella pneumoniae],Mutated,2,111
YP_005225101.1,cell division protein MraZ [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92834.1 division/cell wall cluster transcriptional repressor MraZ [Klebsiella pneumoniae],Mutated,1,152
YP_005226609.1,putative lipoprotein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94287.1 hypothetical protein B9G35_12930 [Klebsiella pneumoniae],Mutated,35,176
YP_005224350.1,putative serine protease [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92117.1 AAA family ATPase [Klebsiella pneumoniae],Mutated,3,197
YP_005227792.1,"hypothetical protein KPHS_34920, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_003367555.1 AXK96318.1 threonine transporter [Klebsiella pneumoniae],Mutated,84,84
YP_005226723.1,sensor protein RstB [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94394.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,3,433
YP_005224889.1,putative GCN5-related N-acetyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92632.1 N-acetyltransferase [Klebsiella pneumoniae],Mutated,3,177
YP_005227793.1,AAA family ATPase,GCA_003367555.1 AXK96317.1 hypothetical protein C2L60_09550 [Klebsiella pneumoniae],Mutated,11,626
YP_005228070.1,3-octaprenyl-4-hydroxybenzoate carboxy-lyase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95695.1 3-octaprenyl-4-hydroxybenzoate carboxy-lyase [Klebsiella pneumoniae],Mutated,11,189
YP_005228367.1,putative phosphatase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96041.1 hypothetical protein B9G35_22440 [Klebsiella pneumoniae],Mutated,15,181
YP_005224712.1,N-acetylmuramoyl-l-alanine amidase II [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92464.1 N-acetylmuramoyl-L-alanine amidase AmiB [Klebsiella pneumoniae],Mutated,8,451
