MSA File,Status,Number of Mutations,Total_hits
MSA_YP_005224626.1.faa,Mutations found,78,93
MSA_YP_005225673.1.faa,Mutations found,3,98
MSA_YP_005224671.1.faa,Mutations found,46,99
MSA_YP_005224678.1.faa,Mutations found,1,4
MSA_YP_005225205.1.faa,Mutations found,1,100
MSA_YP_005225214.1.faa,Mutations found,27,100
MSA_YP_005226332.1.faa,Mutations found,6,93
MSA_YP_005227900.1.faa,Mutations found,42,96
MSA_YP_005228085.1.faa,Mutations found,5,100
MSA_YP_005226217.1.faa,Mutations found,993,100
MSA_YP_005228929.1.faa,Mutations found,6,100
MSA_YP_005224509.1.faa,Mutations found,4,100
MSA_YP_005228344.1.faa,No mutations found,0,100
MSA_YP_005227762.1.faa,Mutations found,9,83
MSA_YP_005226320.1.faa,Mutations found,3,100
MSA_YP_005228580.1.faa,Mutations found,12,100
MSA_YP_005227892.1.faa,Mutations found,2,100
MSA_YP_005226613.1.faa,Mutations found,12,69
MSA_YP_005227236.1.faa,Mutations found,45,99
MSA_YP_005227187.1.faa,Mutations found,2,100
MSA_YP_005227337.1.faa,Mutations found,4,96
MSA_YP_005226701.1.faa,Mutations found,14,98
MSA_YP_005225610.1.faa,Mutations found,3,100
MSA_YP_005227257.1.faa,Mutations found,5,100
MSA_YP_005225086.1.faa,Mutations found,45,97
MSA_YP_005229551.1.faa,Mutations found,6,99
MSA_YP_005224538.1.faa,Mutations found,2,75
MSA_YP_005226924.1.faa,Mutations found,7,98
MSA_YP_005227622.1.faa,Mutations found,3,100
MSA_YP_005226088.1.faa,Mutations found,113,100
MSA_YP_005227888.1.faa,Mutations found,23,100
MSA_YP_005226251.1.faa,Mutations found,197,99
MSA_YP_005225505.1.faa,Mutations found,3,100
MSA_YP_005225218.1.faa,Mutations found,1,100
MSA_YP_005224641.1.faa,Mutations found,3,100
MSA_YP_005228121.1.faa,Mutations found,3,99
MSA_YP_005225584.1.faa,Mutations found,12,1
MSA_YP_005226070.1.faa,Mutations found,4,99
MSA_YP_005225688.1.faa,Mutations found,17,92
MSA_YP_005228609.1.faa,Mutations found,8,100
MSA_YP_005225898.1.faa,Mutations found,247,94
MSA_YP_005225992.1.faa,Mutations found,26,100
MSA_YP_005228144.1.faa,Mutations found,6,100
MSA_YP_005229011.1.faa,No mutations found,0,100
MSA_YP_005227567.1.faa,Mutations found,482,14
MSA_YP_005225767.1.faa,Mutations found,7,100
MSA_YP_005227536.1.faa,Mutations found,9,100
MSA_YP_005227189.1.faa,Mutations found,2,99
MSA_YP_005227741.1.faa,Mutations found,4,100
MSA_YP_005226651.1.faa,Mutations found,1,100
MSA_YP_005228154.1.faa,Mutations found,2,100
MSA_YP_005227491.1.faa,Mutations found,1,100
MSA_YP_005227711.1.faa,Mutations found,6,100
MSA_YP_005224453.1.faa,Mutations found,4,100
MSA_YP_005227990.1.faa,Mutations found,29,100
MSA_YP_005227276.1.faa,Mutations found,5,100
MSA_YP_005227061.1.faa,Mutations found,8,99
MSA_YP_005226467.1.faa,Mutations found,10,100
MSA_YP_005226656.1.faa,Mutations found,2,100
MSA_YP_005228355.1.faa,Mutations found,2,100
MSA_YP_005226819.1.faa,Mutations found,49,101
MSA_YP_005224553.1.faa,Mutations found,4,98
MSA_YP_005227014.1.faa,Mutations found,6,100
MSA_YP_005228249.1.faa,No mutations found,0,102
MSA_YP_005226388.1.faa,Mutations found,1,61
MSA_YP_005225351.1.faa,Mutations found,5,100
MSA_YP_005224757.1.faa,Mutations found,3,100
MSA_YP_005227899.1.faa,Mutations found,4,98
MSA_YP_005226946.1.faa,Mutations found,8,88
MSA_YP_005228187.1.faa,Mutations found,2,100
MSA_YP_005227065.1.faa,Mutations found,7,100
MSA_YP_005229110.1.faa,Mutations found,36,62
MSA_YP_005225614.1.faa,Mutations found,15,99
MSA_YP_005226882.1.faa,Mutations found,107,100
MSA_YP_005229407.1.faa,Mutations found,3,100
MSA_YP_005227663.1.faa,Mutations found,2,100
MSA_YP_005224359.1.faa,Mutations found,8,99
MSA_YP_005229268.1.faa,Mutations found,2,100
MSA_YP_005226310.1.faa,Mutations found,15,100
MSA_YP_005229341.1.faa,Mutations found,3,100
MSA_YP_005227789.1.faa,Mutations found,149,64
MSA_YP_005228174.1.faa,Mutations found,14,100
MSA_YP_005225187.1.faa,Mutations found,15,95
MSA_YP_005225788.1.faa,No mutations found,0,100
MSA_YP_005226734.1.faa,Mutations found,3,100
MSA_YP_005228413.1.faa,Mutations found,3,100
MSA_YP_005225507.1.faa,No mutations found,0,7
MSA_YP_005228821.1.faa,Mutations found,7,65
MSA_YP_005226302.1.faa,Mutations found,22,100
MSA_YP_005229284.1.faa,Mutations found,6,100
MSA_YP_005227398.1.faa,Mutations found,14,100
MSA_YP_005228865.1.faa,Mutations found,2,98
MSA_YP_005224514.1.faa,Mutations found,2,100
MSA_YP_005228759.1.faa,Mutations found,20,100
MSA_YP_005226958.1.faa,Mutations found,172,92
MSA_YP_005229340.1.faa,Mutations found,4,97
MSA_YP_005228147.1.faa,No mutations found,0,100
MSA_YP_005227338.1.faa,Mutations found,5,96
MSA_YP_005224867.1.faa,No mutations found,0,3
MSA_YP_005227409.1.faa,Mutations found,11,100
MSA_YP_005225629.1.faa,Mutations found,58,100
MSA_YP_005226926.1.faa,Mutations found,14,95
MSA_YP_005224893.1.faa,Mutations found,22,99
MSA_YP_005228296.1.faa,Mutations found,4,100
MSA_YP_005224717.1.faa,Mutations found,4,100
MSA_YP_005228854.1.faa,No mutations found,0,18
MSA_YP_005224550.1.faa,Mutations found,3,100
MSA_YP_005229130.1.faa,No mutations found,0,100
MSA_YP_005227408.1.faa,Mutations found,15,100
MSA_YP_005225133.1.faa,Mutations found,12,100
MSA_YP_005224937.1.faa,Mutations found,3,100
MSA_YP_005229274.1.faa,No mutations found,0,19
MSA_YP_005226516.1.faa,Mutations found,12,98
MSA_YP_005226298.1.faa,Mutations found,3,100
MSA_YP_005225135.1.faa,Mutations found,2,99
MSA_YP_005227288.1.faa,Mutations found,10,100
MSA_YP_005229555.1.faa,Mutations found,29,100
MSA_YP_005227487.1.faa,Mutations found,2,100
MSA_YP_005226632.1.faa,Mutations found,33,99
MSA_YP_005225840.1.faa,Mutations found,24,100
MSA_YP_005226576.1.faa,Mutations found,22,78
MSA_YP_005228886.1.faa,Mutations found,20,99
MSA_YP_005226910.1.faa,Mutations found,6,100
MSA_YP_005228781.1.faa,Mutations found,3,65
MSA_YP_005226048.1.faa,Mutations found,323,64
MSA_YP_005225967.1.faa,Mutations found,128,100
MSA_YP_005227646.1.faa,Mutations found,7,99
MSA_YP_005229010.1.faa,No mutations found,0,16
MSA_YP_005224871.1.faa,Mutations found,14,98
MSA_YP_005224987.1.faa,Mutations found,7,100
MSA_YP_005226524.1.faa,Mutations found,5,91
MSA_YP_005225733.1.faa,Mutations found,2,82
MSA_YP_005228021.1.faa,Mutations found,3,100
MSA_YP_005227872.1.faa,Mutations found,34,500
MSA_YP_005227433.1.faa,Mutations found,11,100
MSA_YP_005225430.1.faa,Mutations found,12,100
MSA_YP_005228640.1.faa,Mutations found,9,87
MSA_YP_005228343.1.faa,Mutations found,41,13
MSA_YP_005228159.1.faa,Mutations found,7,100
MSA_YP_005228326.1.faa,Mutations found,34,14
MSA_YP_005226199.1.faa,Mutations found,3,98
MSA_YP_005226001.1.faa,Mutations found,10,96
MSA_YP_005226849.1.faa,Mutations found,1,72
MSA_YP_005229368.1.faa,No mutations found,0,100
MSA_YP_005226245.1.faa,No mutations found,0,5
MSA_YP_005225212.1.faa,Mutations found,1,100
MSA_YP_005229453.1.faa,Mutations found,33,54
MSA_YP_005226186.1.faa,Mutations found,5,100
MSA_YP_005227517.1.faa,Mutations found,607,96
MSA_YP_005225796.1.faa,Mutations found,1,100
MSA_YP_005225512.1.faa,Mutations found,30,100
MSA_YP_005227921.1.faa,Mutations found,115,100
MSA_YP_005227631.1.faa,Mutations found,3,100
MSA_YP_005225395.1.faa,Mutations found,1,81
MSA_YP_005228690.1.faa,No mutations found,0,100
MSA_YP_005228237.1.faa,Mutations found,14,101
MSA_YP_005224314.1.faa,Mutations found,2,100
MSA_YP_005228784.1.faa,Mutations found,1,64
MSA_YP_005225903.1.faa,Mutations found,12,100
MSA_YP_005227989.1.faa,Mutations found,1,100
MSA_YP_005226739.1.faa,No mutations found,0,100
MSA_YP_005225716.1.faa,Mutations found,7,96
MSA_YP_005226289.1.faa,No mutations found,0,5
MSA_YP_005225024.1.faa,Mutations found,1,100
MSA_YP_005224497.1.faa,No mutations found,0,100
MSA_YP_005228982.1.faa,Mutations found,2,74
MSA_YP_005225213.1.faa,No mutations found,0,100
MSA_YP_005226858.1.faa,Mutations found,14,95
MSA_YP_005225108.1.faa,Mutations found,7,100
MSA_YP_005225320.1.faa,Mutations found,6,100
MSA_YP_005225143.1.faa,Mutations found,52,100
MSA_YP_005224924.1.faa,Mutations found,60,95
MSA_YP_005225793.1.faa,Mutations found,8,100
MSA_YP_005228778.1.faa,Mutations found,1,65
MSA_YP_005224349.1.faa,Mutations found,4,86
MSA_YP_005224366.1.faa,Mutations found,4,100
MSA_YP_005228888.1.faa,No mutations found,0,100
MSA_YP_005224518.1.faa,Mutations found,1,100
MSA_YP_005224482.1.faa,No mutations found,0,7
MSA_YP_005228711.1.faa,Mutations found,2,100
MSA_YP_005226004.1.faa,Mutations found,5,99
MSA_YP_005228369.1.faa,Mutations found,1,100
MSA_YP_005224759.1.faa,Mutations found,21,100
MSA_YP_005229181.1.faa,Mutations found,2,100
MSA_YP_005224600.1.faa,Mutations found,1,100
MSA_YP_005226390.1.faa,No mutations found,0,59
MSA_YP_005225206.1.faa,Mutations found,2,100
MSA_YP_005225428.1.faa,Mutations found,8,100
MSA_YP_005229334.1.faa,Mutations found,2,94
MSA_YP_005229278.1.faa,Mutations found,3,100
MSA_YP_005226266.1.faa,Mutations found,1,100
MSA_YP_005224667.1.faa,Mutations found,51,98
MSA_YP_005226426.1.faa,Mutations found,6,100
MSA_YP_005225341.1.faa,Mutations found,11,100
MSA_YP_005224693.1.faa,No mutations found,0,99
MSA_YP_005225359.1.faa,Mutations found,1,100
MSA_YP_005226812.1.faa,Mutations found,9,96
MSA_YP_005225944.1.faa,Mutations found,5,101
MSA_YP_005226629.1.faa,Mutations found,238,98
MSA_YP_005228608.1.faa,Mutations found,6,99
MSA_YP_005224370.1.faa,Mutations found,6,100
MSA_YP_005227906.1.faa,Mutations found,11,100
MSA_YP_005226670.1.faa,Mutations found,2,100
MSA_YP_005227628.1.faa,Mutations found,7,100
MSA_YP_005225655.1.faa,Mutations found,6,99
MSA_YP_005224830.1.faa,Mutations found,6,100
MSA_YP_005226380.1.faa,No mutations found,0,100
MSA_YP_005225693.1.faa,Mutations found,14,95
MSA_YP_005228024.1.faa,Mutations found,9,97
MSA_YP_005224824.1.faa,Mutations found,4,100
MSA_YP_005227579.1.faa,Mutations found,1,95
MSA_YP_005228555.1.faa,Mutations found,5,100
MSA_YP_005227123.1.faa,No mutations found,0,100
MSA_YP_005226422.1.faa,Mutations found,13,98
MSA_YP_005224649.1.faa,Mutations found,16,100
MSA_YP_005227805.1.faa,Mutations found,19,98
MSA_YP_005224836.1.faa,Mutations found,19,100
MSA_YP_005226929.1.faa,Mutations found,25,96
MSA_YP_005225953.1.faa,Mutations found,9,100
MSA_YP_005229373.1.faa,Mutations found,3,100
MSA_YP_005224473.1.faa,Mutations found,4,100
MSA_YP_005229088.1.faa,No mutations found,0,100
MSA_YP_005226809.1.faa,Mutations found,5,80
MSA_YP_005228709.1.faa,Mutations found,6,100
MSA_YP_005226690.1.faa,Mutations found,12,100
MSA_YP_005226619.1.faa,Mutations found,3,100
MSA_YP_005225230.1.faa,Mutations found,2,100
MSA_YP_005227207.1.faa,Mutations found,3,100
MSA_YP_005229376.1.faa,Mutations found,7,100
MSA_YP_005224325.1.faa,Mutations found,1,100
MSA_YP_005224361.1.faa,Mutations found,7,100
MSA_YP_005225765.1.faa,Mutations found,8,100
MSA_YP_005228704.1.faa,Mutations found,15,100
MSA_YP_005224628.1.faa,Mutations found,14,100
MSA_YP_005227819.1.faa,Mutations found,19,100
MSA_YP_005227025.1.faa,Mutations found,16,97
MSA_YP_005225284.1.faa,Mutations found,15,99
MSA_YP_005225757.1.faa,Mutations found,15,100
MSA_YP_005226036.1.faa,Mutations found,16,114
MSA_YP_005226110.1.faa,Mutations found,21,100
MSA_YP_005227363.1.faa,Mutations found,5,100
MSA_YP_005226168.1.faa,Mutations found,8,100
MSA_YP_005227081.1.faa,Mutations found,2,72
MSA_YP_005224959.1.faa,Mutations found,6,99
MSA_YP_005226665.1.faa,Mutations found,18,100
MSA_YP_005228859.1.faa,Mutations found,4,100
MSA_YP_005227849.1.faa,Mutations found,2,63
MSA_YP_005229096.1.faa,Mutations found,1,100
MSA_YP_005225595.1.faa,No mutations found,0,100
MSA_YP_005226502.1.faa,Mutations found,67,99
MSA_YP_005227096.1.faa,Mutations found,1,85
MSA_YP_005225852.1.faa,Mutations found,18,99
MSA_YP_005227197.1.faa,Mutations found,1,91
MSA_YP_005226113.1.faa,Mutations found,6,99
MSA_YP_005229537.1.faa,Mutations found,7,87
MSA_YP_005225961.1.faa,Mutations found,10,100
MSA_YP_005228222.1.faa,Mutations found,66,101
MSA_YP_005225420.1.faa,Mutations found,3,100
MSA_YP_005228980.1.faa,Mutations found,2,75
MSA_YP_005227486.1.faa,Mutations found,2,100
MSA_YP_005228516.1.faa,Mutations found,4,100
MSA_YP_005227694.1.faa,Mutations found,13,100
MSA_YP_005226084.1.faa,Mutations found,20,100
MSA_YP_005228129.1.faa,Mutations found,11,5
MSA_YP_005228651.1.faa,Mutations found,12,98
MSA_YP_005228494.1.faa,Mutations found,23,100
MSA_YP_005226799.1.faa,Mutations found,19,100
MSA_YP_005229062.1.faa,Mutations found,21,99
MSA_YP_005227307.1.faa,Mutations found,1,82
MSA_YP_005226889.1.faa,Mutations found,2,94
MSA_YP_005228317.1.faa,Mutations found,9,13
MSA_YP_005228410.1.faa,Mutations found,2,100
MSA_YP_005225472.1.faa,Mutations found,3,100
MSA_YP_005225452.1.faa,Mutations found,1,100
MSA_YP_005224802.1.faa,No mutations found,0,100
MSA_YP_005228231.1.faa,Mutations found,2,101
MSA_YP_005226198.1.faa,No mutations found,0,98
MSA_YP_005225880.1.faa,No mutations found,0,100
MSA_YP_005228713.1.faa,No mutations found,0,7
MSA_YP_005228454.1.faa,Mutations found,12,100
MSA_YP_005226874.1.faa,Mutations found,3,91
MSA_YP_005224946.1.faa,Mutations found,16,87
MSA_YP_005227359.1.faa,Mutations found,29,100
MSA_YP_005226431.1.faa,Mutations found,36,92
MSA_YP_005227292.1.faa,Mutations found,77,93
MSA_YP_005225650.1.faa,Mutations found,46,99
MSA_YP_005228601.1.faa,Mutations found,5,100
MSA_YP_005224318.1.faa,Mutations found,3,99
MSA_YP_005225451.1.faa,Mutations found,6,99
MSA_YP_005229390.1.faa,Mutations found,11,100
MSA_YP_005225423.1.faa,Mutations found,4,99
MSA_YP_005228461.1.faa,Mutations found,4,100
MSA_YP_005224316.1.faa,Mutations found,5,100
MSA_YP_005227412.1.faa,Mutations found,7,99
MSA_YP_005225799.1.faa,No mutations found,0,99
MSA_YP_005226970.1.faa,Mutations found,172,84
MSA_YP_005229469.1.faa,Mutations found,6,100
MSA_YP_005225137.1.faa,Mutations found,1,100
MSA_YP_005228196.1.faa,Mutations found,5,100
MSA_YP_005224701.1.faa,Mutations found,3,100
MSA_YP_005227559.1.faa,Mutations found,277,49
MSA_YP_005227406.1.faa,Mutations found,12,98
MSA_YP_005228504.1.faa,Mutations found,12,100
MSA_YP_005225545.1.faa,Mutations found,1,11
MSA_YP_005225565.1.faa,Mutations found,18,13
MSA_YP_005225837.1.faa,Mutations found,1,100
MSA_YP_005227765.1.faa,Mutations found,5,83
MSA_YP_005225752.1.faa,Mutations found,1,100
MSA_YP_005228927.1.faa,Mutations found,4,100
MSA_YP_005228835.1.faa,No mutations found,0,75
MSA_YP_005225261.1.faa,Mutations found,6,100
MSA_YP_005229356.1.faa,Mutations found,4,99
MSA_YP_005228708.1.faa,Mutations found,7,100
MSA_YP_005224395.1.faa,Mutations found,6,100
MSA_YP_005225623.1.faa,Mutations found,18,98
MSA_YP_005226119.1.faa,No mutations found,0,100
MSA_YP_005226354.1.faa,Mutations found,9,99
MSA_YP_005225624.1.faa,Mutations found,20,99
MSA_YP_005229324.1.faa,Mutations found,3,100
MSA_YP_005224362.1.faa,Mutations found,4,100
MSA_YP_005227390.1.faa,Mutations found,17,99
MSA_YP_005225618.1.faa,Mutations found,1,99
MSA_YP_005229525.1.faa,Mutations found,3,99
MSA_YP_005224307.1.faa,Mutations found,5,100
MSA_YP_005225678.1.faa,Mutations found,218,78
MSA_YP_005227010.1.faa,Mutations found,24,100
MSA_YP_005224657.1.faa,Mutations found,3,80
MSA_YP_005228870.1.faa,Mutations found,4,100
MSA_YP_005227085.1.faa,Mutations found,2,71
MSA_YP_005227299.1.faa,Mutations found,14,97
MSA_YP_005226188.1.faa,Mutations found,177,100
MSA_YP_005227905.1.faa,Mutations found,8,100
MSA_YP_005225509.1.faa,Mutations found,8,100
MSA_YP_005228321.1.faa,Mutations found,23,13
MSA_YP_005224829.1.faa,Mutations found,4,99
MSA_YP_005228834.1.faa,Mutations found,27,75
MSA_YP_005224601.1.faa,Mutations found,10,100
MSA_YP_005225441.1.faa,No mutations found,0,100
MSA_YP_005226130.1.faa,Mutations found,81,100
MSA_YP_005227144.1.faa,Mutations found,28,100
MSA_YP_005224572.1.faa,Mutations found,1,100
MSA_YP_005226150.1.faa,Mutations found,5,100
MSA_YP_005224831.1.faa,Mutations found,2,100
MSA_YP_005228973.1.faa,Mutations found,44,99
MSA_YP_005225585.1.faa,Mutations found,3,3
MSA_YP_005225929.1.faa,Mutations found,4,100
MSA_YP_005228209.1.faa,Mutations found,169,101
MSA_YP_005225233.1.faa,Mutations found,21,99
MSA_YP_005226109.1.faa,Mutations found,8,100
MSA_YP_005225046.1.faa,Mutations found,2,78
MSA_YP_005229029.1.faa,Mutations found,13,100
MSA_YP_005226820.1.faa,Mutations found,12,141
MSA_YP_005229028.1.faa,No mutations found,0,100
MSA_YP_005226881.1.faa,Mutations found,23,97
MSA_YP_005225072.1.faa,Mutations found,20,100
MSA_YP_005225990.1.faa,Mutations found,10,100
MSA_YP_005229301.1.faa,Mutations found,3,100
MSA_YP_005229588.1.faa,Mutations found,2,100
MSA_YP_005226448.1.faa,Mutations found,13,100
MSA_YP_005226235.1.faa,Mutations found,24,100
MSA_YP_005225173.1.faa,Mutations found,1,100
MSA_YP_005228280.1.faa,Mutations found,1,100
MSA_YP_005228546.1.faa,Mutations found,10,100
MSA_YP_005227880.1.faa,Mutations found,55,100
MSA_YP_005227930.1.faa,Mutations found,25,100
MSA_YP_005229553.1.faa,Mutations found,8,100
MSA_YP_005226547.1.faa,Mutations found,75,75
MSA_YP_005224660.1.faa,Mutations found,2,99
MSA_YP_005227960.1.faa,Mutations found,4,14
MSA_YP_005224906.1.faa,Mutations found,2,100
MSA_YP_005225058.1.faa,Mutations found,2,100
MSA_YP_005225530.1.faa,Mutations found,3,100
MSA_YP_005225532.1.faa,Mutations found,4,100
MSA_YP_005225632.1.faa,Mutations found,16,100
MSA_YP_005229434.1.faa,Mutations found,456,100
MSA_YP_005226559.1.faa,Mutations found,53,65
MSA_YP_005227021.1.faa,Mutations found,1,100
MSA_YP_005227919.1.faa,Mutations found,10,100
MSA_YP_005226724.1.faa,Mutations found,6,99
MSA_YP_005225147.1.faa,Mutations found,1,100
MSA_YP_005224663.1.faa,Mutations found,20,98
MSA_YP_005229034.1.faa,No mutations found,0,100
MSA_YP_005224489.1.faa,No mutations found,0,100
MSA_YP_005228397.1.faa,No mutations found,0,100
MSA_YP_005225313.1.faa,Mutations found,28,59
MSA_YP_005227182.1.faa,Mutations found,3,100
MSA_YP_005226094.1.faa,No mutations found,0,100
MSA_YP_005225258.1.faa,Mutations found,11,98
MSA_YP_005228259.1.faa,Mutations found,1,100
MSA_YP_005229614.1.faa,Mutations found,1,100
MSA_YP_005227483.1.faa,Mutations found,49,100
MSA_YP_005225118.1.faa,Mutations found,73,100
MSA_YP_005226463.1.faa,Mutations found,5,100
MSA_YP_005227707.1.faa,Mutations found,10,100
MSA_YP_005228458.1.faa,Mutations found,6,98
MSA_YP_005225120.1.faa,Mutations found,6,100
MSA_YP_005226179.1.faa,Mutations found,3,100
MSA_YP_005226558.1.faa,Mutations found,87,36
MSA_YP_005229111.1.faa,Mutations found,14,62
MSA_YP_005228617.1.faa,Mutations found,4,100
MSA_YP_005227459.1.faa,Mutations found,14,100
MSA_YP_005226744.1.faa,Mutations found,3,100
MSA_YP_005228962.1.faa,Mutations found,1,100
MSA_YP_005229480.1.faa,Mutations found,1,100
MSA_YP_005227790.1.faa,Mutations found,1,49
MSA_YP_005226031.1.faa,Mutations found,50,117
MSA_YP_005229020.1.faa,Mutations found,27,100
MSA_YP_005225102.1.faa,Mutations found,2,100
MSA_YP_005226721.1.faa,Mutations found,6,100
MSA_YP_005228525.1.faa,Mutations found,41,99
MSA_YP_005229291.1.faa,No mutations found,0,100
MSA_YP_005228997.1.faa,Mutations found,4,100
MSA_YP_005224560.1.faa,Mutations found,23,90
MSA_YP_005228861.1.faa,Mutations found,61,36
MSA_YP_005226386.1.faa,Mutations found,107,61
MSA_YP_005228200.1.faa,Mutations found,25,100
MSA_YP_005227284.1.faa,Mutations found,10,100
MSA_YP_005228443.1.faa,Mutations found,5,100
MSA_YP_005226536.1.faa,Mutations found,4,66
MSA_YP_005227550.1.faa,Mutations found,714,51
MSA_YP_005227141.1.faa,Mutations found,10,100
MSA_YP_005227611.1.faa,Mutations found,3,100
MSA_YP_005229569.1.faa,Mutations found,8,100
MSA_YP_005227933.1.faa,Mutations found,6,99
MSA_YP_005225079.1.faa,Mutations found,4,100
MSA_YP_005226782.1.faa,Mutations found,434,99
MSA_YP_005226661.1.faa,Mutations found,1,100
MSA_YP_005225906.1.faa,Mutations found,4,100
MSA_YP_005224968.1.faa,Mutations found,5,100
MSA_YP_005225859.1.faa,Mutations found,10,100
MSA_YP_005229353.1.faa,Mutations found,20,87
MSA_YP_005228908.1.faa,Mutations found,36,92
MSA_YP_005224443.1.faa,Mutations found,3,100
MSA_YP_005225805.1.faa,Mutations found,1,100
MSA_YP_005227944.1.faa,Mutations found,3,100
MSA_YP_005228750.1.faa,Mutations found,1,100
MSA_YP_005226412.1.faa,Mutations found,24,99
MSA_YP_005226545.1.faa,Mutations found,2,72
MSA_YP_005224495.1.faa,No mutations found,0,100
MSA_YP_005224923.1.faa,Mutations found,71,87
MSA_YP_005229342.1.faa,Mutations found,1,100
MSA_YP_005226921.1.faa,No mutations found,0,7
MSA_YP_005224939.1.faa,Mutations found,15,13
MSA_YP_005229439.1.faa,No mutations found,0,100
MSA_YP_005224866.1.faa,Mutations found,16,100
MSA_YP_005225597.1.faa,Mutations found,11,100
MSA_YP_005226897.1.faa,Mutations found,3,98
MSA_YP_005227720.1.faa,Mutations found,5,97
MSA_YP_005229147.1.faa,Mutations found,1,100
MSA_YP_005228251.1.faa,Mutations found,10,102
MSA_YP_005225839.1.faa,Mutations found,2,100
MSA_YP_005229126.1.faa,Mutations found,8,100
MSA_YP_005226248.1.faa,Mutations found,6,100
MSA_YP_005228302.1.faa,No mutations found,0,2
MSA_YP_005226496.1.faa,Mutations found,24,100
MSA_YP_005229024.1.faa,No mutations found,0,100
MSA_YP_005226686.1.faa,Mutations found,16,100
MSA_YP_005225349.1.faa,Mutations found,2,100
MSA_YP_005228062.1.faa,Mutations found,4,78
MSA_YP_005227310.1.faa,Mutations found,31,91
MSA_YP_005225974.1.faa,Mutations found,3,99
MSA_YP_005226914.1.faa,Mutations found,275,100
MSA_YP_005224864.1.faa,Mutations found,21,98
MSA_YP_005226890.1.faa,Mutations found,3,99
MSA_YP_005226909.1.faa,Mutations found,4,100
MSA_YP_005225689.1.faa,Mutations found,4,92
MSA_YP_005228025.1.faa,Mutations found,21,100
MSA_YP_005225973.1.faa,No mutations found,0,100
MSA_YP_005227453.1.faa,Mutations found,3,82
MSA_YP_005224795.1.faa,Mutations found,21,100
MSA_YP_005228586.1.faa,Mutations found,22,100
MSA_YP_005227927.1.faa,No mutations found,0,100
MSA_YP_005224740.1.faa,Mutations found,3,100
MSA_YP_005225474.1.faa,Mutations found,12,100
MSA_YP_005227200.1.faa,Mutations found,6,100
MSA_YP_005226834.1.faa,Mutations found,7,98
MSA_YP_005229563.1.faa,Mutations found,2,100
MSA_YP_005229385.1.faa,Mutations found,2,100
MSA_YP_005226253.1.faa,Mutations found,1,100
MSA_YP_005227227.1.faa,Mutations found,5,100
MSA_YP_005228316.1.faa,Mutations found,14,13
MSA_YP_005226327.1.faa,Mutations found,7,98
MSA_YP_005226533.1.faa,Mutations found,25,99
MSA_YP_005225189.1.faa,Mutations found,11,83
MSA_YP_005228556.1.faa,Mutations found,4,100
MSA_YP_005226780.1.faa,Mutations found,5,99
MSA_YP_005228728.1.faa,Mutations found,3,80
MSA_YP_005227642.1.faa,Mutations found,3,100
MSA_YP_005229470.1.faa,No mutations found,0,100
MSA_YP_005227285.1.faa,Mutations found,44,58
MSA_YP_005225847.1.faa,Mutations found,249,98
MSA_YP_005226032.1.faa,Mutations found,15,59
MSA_YP_005226987.1.faa,Mutations found,42,97
MSA_YP_005226983.1.faa,Mutations found,6,83
MSA_YP_005226854.1.faa,Mutations found,1,67
MSA_YP_005227881.1.faa,Mutations found,46,100
MSA_YP_005225256.1.faa,Mutations found,3,100
MSA_YP_005228463.1.faa,Mutations found,20,100
MSA_YP_005227133.1.faa,Mutations found,4,99
MSA_YP_005227239.1.faa,Mutations found,8,100
MSA_YP_005228839.1.faa,Mutations found,7,98
MSA_YP_005227978.1.faa,Mutations found,4,100
MSA_YP_005227134.1.faa,Mutations found,13,100
MSA_YP_005228094.1.faa,Mutations found,2,100
MSA_YP_005224952.1.faa,Mutations found,2,59
MSA_YP_005228786.1.faa,Mutations found,4,65
MSA_YP_005224832.1.faa,Mutations found,26,100
MSA_YP_005228393.1.faa,Mutations found,20,100
MSA_YP_005229255.1.faa,Mutations found,3,100
MSA_YP_005226333.1.faa,Mutations found,38,99
MSA_YP_005227206.1.faa,Mutations found,13,98
MSA_YP_005227191.1.faa,Mutations found,453,78
MSA_YP_005227427.1.faa,Mutations found,23,120
MSA_YP_005228879.1.faa,Mutations found,8,99
MSA_YP_005224851.1.faa,No mutations found,0,54
MSA_YP_005225220.1.faa,Mutations found,7,100
MSA_YP_005227199.1.faa,Mutations found,209,98
MSA_YP_005226863.1.faa,Mutations found,3,99
MSA_YP_005225257.1.faa,Mutations found,6,100
MSA_YP_005225699.1.faa,Mutations found,31,95
MSA_YP_005225731.1.faa,Mutations found,6,80
MSA_YP_005228795.1.faa,Mutations found,234,57
MSA_YP_005226151.1.faa,Mutations found,11,100
MSA_YP_005228871.1.faa,Mutations found,4,100
MSA_YP_005225876.1.faa,Mutations found,1,100
MSA_YP_005227461.1.faa,Mutations found,6,100
MSA_YP_005228966.1.faa,Mutations found,4,100
MSA_YP_005225730.1.faa,Mutations found,3,81
MSA_YP_005227577.1.faa,Mutations found,20,80
MSA_YP_005226634.1.faa,Mutations found,19,99
MSA_YP_005229360.1.faa,Mutations found,351,426
MSA_YP_005224526.1.faa,Mutations found,18,100
MSA_YP_005228729.1.faa,Mutations found,3,82
MSA_YP_005224729.1.faa,Mutations found,1,98
MSA_YP_005227430.1.faa,Mutations found,1,69
MSA_YP_005224352.1.faa,Mutations found,44,100
MSA_YP_005228557.1.faa,Mutations found,12,100
